formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C7H12N2O3	[M - H2O + H]+	C7H11N2O2+	0.837	0.333	30.063	30.063	0.000	2	0.966	2.927	2.927	-116135.864		155.082	52	0.868	836969406900614649	836967459732686799	836967459732686798	214	
1	C2H5FN2O2	[M + H3N + H]+	C2H9FN3O2+	0.870	0.001	31.016	30.255	0.761	10	0.150	-6.915	6.915	-7.704		126.066	52	0.870	836969436655007525	836967459774629843	836967459774629842	215	
1	C14H25N5O5	[M - H2O + H]+	C14H24N5O4+	1.000	0.333	78.026	75.350	2.676	27	0.948	0.636	0.661	-55216.648		326.182	52	0.873	836969490220464533	836967459812378583	836967459812378582	216	
1	C27H33N3O5	[M - H2O + H]+	C27H32N3O4+	1.000	0.326	84.898	84.898	0.000	35	0.848	0.304	1.237	-38964.880		462.238	52	0.874	836967663642980005	836967459850127323	836967459850127322	217	
1	C12H27N3O4	[M - H2O + H]+	C12H26N3O3+	1.000	0.333	70.393	67.518	2.874	16	0.974	2.088	3.163	-69218.572		260.197	53	0.880	836967640310065157	836967459934013411	836967459934013410	220	
1	C12H22N4O4	[M - H2O + H]+	C12H21N4O3+	1.000	0.333	74.781	69.754	5.028	13	0.986	0.905	0.909	-66913.796		269.161	53	0.881	836967728440787359	836967459896264671	836967459896264670	219	
1	C10H12N5O7P	[M + Na]+	C10H12N5NaO7P+	0.988	0.993	32.336	29.452	2.884	12	0.684	0.066	0.926	0.041		368.037	53	0.883	836967676964090560	836967459975956455	836967459975956454	221	
1	C7H10N2S2	[M + H3N + H]+	C7H14N3S2+	0.982	0.134	43.701	43.701	0.000	8	0.332	6.681	6.681	4.382		204.063	53	0.890	836967678335628145	836967460013705195	836967460013705194	223	
1	C6H11ClNO2	[M - H2O + H]+	C6H10ClNO+	0.568	0.333	56.012	54.512	1.499	8	0.754	7.517	7.517	-122487.116		147.044	53	0.890	836967643707451537	836967460055648239	836967460051453934	224	
1	C4H6O5	[M + H3N + H]+	C4H10NO5+	0.999	0.333	57.170	57.170	0.000	8	0.326	8.778	8.778	8.952		152.057	53	0.890	836967677584847596	836967460093396979	836967460093396978	225	
1	C7H8O3	[M - H2O + H]+	C7H7O2+	1.000	0.499	69.946	66.931	3.015	7	0.942	9.380	9.380	-146373.118		123.044	53	0.891	836967651420777249	836967460135340023	836967460135340022	226	
1	C9H13NO4	[M - H2O + H]+	C9H12NO3+	1.000	0.333	128.106	122.912	5.194	13	0.980	1.684	1.873	-98914.487		182.081	53	0.891	836967649181018705	836967460177283067	836967460177283066	227	
1	C9H10O4	[M - H2O + H]+	C9H9O3+	1.000	0.500	102.234	102.234	0.000	11	0.975	2.473	2.473	-109118.215		165.055	53	0.891	836969510453787359	836967460261169155	836967460256974850	229	
1	C8H11NO2	[M - H2O + H]+	C8H10NO+	1.000	0.333	73.170	69.971	3.199	9	0.976	2.667	3.426	-132356.380		136.076	54	0.892	836967654734277687	836967460219226111	836967460219226110	228	
1	C18H29N5O10	[M + Na]+	C18H29N5NaO10+	1.000	1.000	72.769	69.438	3.331	37	0.878	-0.059	0.372	0.436		498.181	54	0.893	836969526731881359	836967460303112199	836967460303112198	230	
1	C6H10NO3S2	[M + H3N + H]+	C6H14N2O3S2+	0.961	0.331	21.550	21.550	0.000	9	0.134	0.491	0.545	5.128		226.045	54	0.894	836967647419410899	836967460420552723	836967460420552722	233	
1	C18H31N5O11	[M - H2O + H]+	C18H30N5O10+	1.000	0.333	130.536	124.171	6.365	40	0.930	0.180	0.303	-37821.070		476.199	54	0.896	836967645582305543	836967460382803983	836967460378609678	232	
1	C16H32N4O5	[M - H2O + H]+	C16H31N4O4+	1.000	0.333	100.608	97.406	3.202	31	0.934	0.336	0.904	-52472.870		343.234	54	0.897	836967657380883617	836967460340860939	836967460340860938	231	
1	C10H14N5O8P	[M - H2O + H]+	C10H13N5O7P+	0.934	0.333	28.360	25.949	2.411	7	0.959	1.474	1.476	-52045.337		346.055	54	0.899	836968315291042103	836967460504438811	836967460504438810	235	
1	C17H29N5O7	[M + Na]+	C17H29N5NaO7+	1.000	1.000	68.512	64.643	3.869	34	0.871	-0.056	0.527	0.299		438.196	54	0.899	836967682177610902	836967460462495767	836967460462495766	234	
1	C10H11N2O5	[M + H3N + H]+	C10H15N3O5+	0.370	0.143	57.168	54.079	3.089	13	0.493	4.206	4.206	1.159		257.101	54	0.900	836967666625130387	836967460542187551	836967460542187550	236	
1	C17H31N5O8	[M - H2O + H]+	C17H30N5O7+	1.000	0.333	77.758	74.427	3.331	28	0.928	1.180	1.180	-43272.406		416.214	54	0.902	836967664293097171	836967460588324899	836967460588324898	237	
1	C6H12N5O4	[M + H3N + H]+	C6H16N6O4+	1.000	0.135	39.582	39.582	0.000	16	0.080	0.683	3.301	-4.148		236.122	54	0.902	836967658941164900	836967460626073639	836967460626073638	238	
1	C11H16N4O3	[M - H2O + H]+	C11H15N4O2+	1.000	0.333	67.536	62.141	5.395	23	0.874	0.726	1.189	-76601.570		235.119	54	0.907	836967701458827627	836967460668016683	836967460663822378	239	
1	C17H30N4O9	[M + H]+	C17H31N4O9+	1.000	0.333	133.420	130.805	2.615	39	0.947	0.335	0.885	0.609		435.209	55	0.921	836967678046221110	836967460705765423	836967460701571118	240	
1	C8H18N2O5	[M - H2O + H]+	C8H17N2O4+	1.000	0.333	77.970	74.997	2.973	16	0.991	5.387	5.387	-87804.495		205.119	55	0.921	836969393449481479	836967460743514163	836967460743514162	241	
1	C14H15F6N3O3	[M + H3N + H]+	C14H19F6N4O3+	0.861	0.047	20.204	20.204	0.000	19	0.723	0.680	0.882	0.799		405.136	56	0.930	836967816747667791	836967460856760383	836967460856760382	244	
1	C12H27N3O4	[M - H2O + H]+	C12H26N3O3+	1.000	0.333	79.848	76.495	3.353	19	0.983	1.229	1.403	-69218.244		260.197	56	0.930	836967647423605228	836967461733370007	836967461733370006	266	
1	C11H23N3O5	[M - H2O + H]+	C11H22N3O4+	1.000	0.333	70.584	65.045	5.539	16	0.951	1.677	1.918	-69227.573		260.161	56	0.938	836967645292898547	836967460819011643	836967460819011642	243	
1	C14H26N4O8	[M - H2O + H]+	C14H25N4O7+	1.000	0.333	175.891	170.128	5.763	52	0.980	0.291	0.501	-49866.903		361.172	56	0.940	836967706609433453	836967460898703427	836967460898703426	245	
1	C14H24N4O7	[M + Na]+	C14H24N4NaO7+	1.000	1.000	46.703	43.222	3.481	18	0.784	-0.059	0.233	0.314		383.154	56	0.940	836969528912919494	836967460936452167	836967460936452166	246	
1	C10H16N2O7	[M - H2O + H]+	C10H15N2O6+	1.000	0.333	80.348	78.180	2.168	18	0.930	1.673	1.673	-69513.559		259.093	57	0.951	836967702142499280	836967461011949647	836967461007755342	248	
1	C10H14N2O6	[M + Na]+	C10H14N2NaO6+	0.983	0.924	93.260	90.060	3.200	21	0.554	6.155	6.155	0.118		281.074	58	0.961	836967676154589844	836967461049698387	836967461049698386	249	
