CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
66	69	13	0.9349	-55.962
66	71	13	0.914	-59.956
66	75	13	0.788	-115.917
66	78	13	0.7712	-175.873
66	80	13	0.808	-173.876
42	52	13	0.8126	20.058
44	52	13	0.7919	-47.930
52	53	13	0.777	-1.997
52	73	13	0.8012	19.748
62	71	13	0.9039	8.032
71	75	13	0.8077	-55.961
71	78	13	0.8799	-115.917
71	80	13	0.8136	-113.920
61	62	13	0.8212	-1.997
61	63	13	0.825	-117.914
61	67	13	0.929	67.987
61	69	13	0.9625	10.029
61	73	13	0.7861	-116.227
61	76	13	0.8222	-165.844
62	63	13	0.8303	-115.917
62	73	13	0.7935	-114.230
62	75	13	0.8277	-47.930
62	76	13	0.7878	-163.847
20	25	13	0.9327	-67.988
23	25	13	0.9617	67.987
24	25	13	0.9429	135.975
25	36	13	0.8795	100.100
67	69	13	0.938	-57.959
20	24	13	0.8362	-203.963
23	24	13	0.9635	-67.988
24	33	13	0.9169	100.100
24	37	13	0.8285	84.126
63	80	13	0.9357	10.029
69	80	13	0.8013	-117.914
73	80	13	0.829	8.341
75	80	13	0.8252	-57.959
76	80	13	0.9435	57.959
78	80	13	0.8873	1.997
26	28	13	0.9459	-135.975
28	30	13	0.9472	67.987
28	31	13	0.9144	271.950
28	33	13	0.8344	407.925
28	35	13	0.7695	475.912
63	73	13	0.8001	1.687
69	73	13	0.7316	-126.256
73	76	13	0.829	-49.617
29	45	13	0.7982	135.975
45	48	13	0.8774	0.163
23	38	13	0.8217	84.126
43	48	13	0.7782	51.074
43	49	13	0.8809	37.097
26	31	13	0.9569	135.975
30	31	13	0.9529	203.962
31	33	13	0.8377	135.975
31	35	13	0.8496	203.963
31	37	13	0.8094	120.001
31	42	13	0.8373	146.004
31	44	13	0.801	213.992
69	76	13	0.7889	-175.873
26	30	13	0.976	-67.987
26	33	13	0.8884	271.950
26	35	13	0.8363	339.938
26	42	13	0.839	281.979
26	44	13	0.8107	349.967
35	38	13	0.8962	-15.974
37	38	13	0.8963	67.987
38	44	13	0.747	26.003
53	63	13	0.8267	20.058
30	42	13	0.8156	349.966
35	42	13	0.7816	-57.959
37	42	13	0.8662	26.003
42	44	13	0.8655	67.988
20	29	13	0.8573	-28.006
30	33	13	0.8628	339.938
30	35	13	0.7801	407.925
33	37	13	0.8955	-15.974
63	78	13	0.9186	8.032
75	78	13	0.8037	-59.956
76	78	13	0.9161	55.962
33	44	13	0.8258	78.016
29	48	13	0.8691	136.138
35	48	13	0.8263	144.007
36	48	13	0.7286	76.019
29	41	13	0.8522	112.132
33	35	13	0.9603	67.988
63	76	13	0.9446	-47.930
75	76	13	0.8219	-115.917
63	75	13	0.8189	67.988
527	892	14	0.9208	-111.032
656	892	14	0.9097	18.011
527	585	14	0.9041	-20.006
527	610	14	0.9264	-14.052
585	684	14	0.9134	-115.027
302	863	14	0.9336	-56.063
345	863	14	0.9041	-54.047
610	863	14	0.9519	-27.995
285	302	14	0.9084	2.016
302	345	14	0.9256	-2.016
285	345	14	0.9359	0.000
345	610	14	0.916	-26.052
1807	1950	15	0.8861	-113.084
1288	1807	15	0.9088	-147.069
17	214	16	0.9418	0.995
90	214	16	0.9455	0.995
199	214	16	0.9261	-25.032
14	141	16	0.968	17.026
104	141	16	0.9466	17.974
107	141	16	0.9823	14.016
141	199	16	0.9784	0.036
141	206	16	0.9636	-0.967
13	104	16	0.9321	-17.974
13	14	16	0.9878	-17.026
14	199	16	0.9905	17.063
13	206	16	0.9318	-0.967
13	293	16	0.9784	-2.016
90	293	16	0.9364	23.975
13	90	16	0.9409	-25.990
17	90	16	0.9943	-0.000
90	199	16	0.9339	26.027
13	17	16	0.9389	-25.990
17	199	16	0.9343	26.027
107	199	16	0.9773	14.052
1003	1117	17	0.9634	-0.000
