cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
737	231.17017549470395	1.9634227	0	0.0	125101410.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
738	431.2135062185636	1.964275	0	13322603.0	7822291.5	19534117.25	19332032.5	19518280.0	0	20290478.0	16715777.5	17138068.25	17562709.0
739	171.1127959791176	1.9646567	0	8833724.625	3916873.2	8471088.75	8981746.25	8007114.75	0	8676992.625	8052595.25	8866499.0	8697587.5
740	233.14461540868643	1.9654733	0	7134063.0	7972593.5	10748104.5	10960364.25	10097015.5	0	9895422.75	9370714.0	10257518.75	9415891.75
741	318.16573096645016	1.9674228	0	5783928.75	6513257.0	6114084.25	5736595.375	10257386.625	0	6455115.75	5605194.625	10230780.75	5600903.875
742	132.08079114797408	1.9704878	0	4210535.875	23904016.0	2554119.575	401989.05	4417031.175	0	4346155.375	3407019.75	2608674.875	1221825.675
743	159.09162172015385	1.9704124	0	6668970.0	37503976.0	4041556.775	603972.95	6979235.375	0	6574588.875	5524517.875	3961878.75	2232749.6
744	244.12921298932773	1.9677869	0	12350056.75	17265758.0	14197625.25	13396298.25	14718385.5	0	15090019.75	13112528.25	13134256.0	13325561.75
745	144.08072343920526	1.9704124	0	10777533.875	62040092.0	7082166.175	969425.8	11432814.75	0	10937422.0	8925647.375	6682262.125	3716609.1
746	146.05997751598863	1.9791255	0	20791540.5	120366504.0	13403280.7	5497083.775	22674179.5	0	23252044.0	17620659.775	14414671.875	7078708.825
747	223.1075423925543	1.9682593	0	1060694.225	36076852.0	0.0	0.0	0.0	0	752044.625	308649.6	0.0	0.0
748	170.0599604491848	1.969986	0	4932966.75	28951086.0	3000207.575	469771.55	5498813.125	0	5213320.5	4136858.375	3070509.7	1481070.425
749	188.07055020682736	1.9725698	0	237630947.625	1347112700.0	156901595.0	31016104.125	262998902.5	0	250046388.5	205105113.5	148140894.625	85255152.625
750	205.0971482037868	1.9725698	0	129441129.375	741311000.0	84813499.5	16593356.225	144711518.5	0	132327751.75	115680909.875	80524934.1	47025907.875
751	545.2569742447764	1.9733483	0	10439233.5	9957204.0	12239250.75	11997730.75	11712472.25	0	12873077.75	10793345.25	12239458.25	10482806.0
752	409.187039494972	1.9667925	0	2065515.675	20924564.0	0.0	0.0	1428268.05	0	1685828.8	1518106.075	0.0	289848.85
753	357.2130953623624	1.9812214	0	7174271.75	5965656.0	11691104.0	11577420.75	11107462.5	0	11201997.25	9897880.75	10537182.125	9913198.875
754	428.25033963178856	1.982006	0	235478112.5	487010300.0	339659970.0	326620502.5	313467715.0	0	305851100.0	300428002.5	325783727.5	283163470.0
755	450.2316843230152	1.9820116	0	59001734.5	63582424.0	74898718.5	82727225.0	69795889.0	0	72708815.0	69490470.0	75816979.0	68407303.0
756	214.62869558074925	1.9827948	0	13008431.5	17172098.0	20528165.5	20505175.5	17720150.0	0	17112304.75	17968685.5	18071132.5	18609799.75
757	206.1152421878088	1.9831902	0	4409789.1	4702473.0	7031725.0	6910442.0	5633585.25	0	5599196.8	6047977.175	6183334.125	6155033.25
758	665.298620968898	1.9871335	0	12766680.75	14830320.0	6742372.5	5322146.375	6066403.125	0	8307890.375	7848988.125	7928476.625	6812247.625
759	530.293349632849	1.9843711	0	22011984.5	25785562.0	18314504.5	16732355.5	17842080.5	0	19832392.5	18862758.5	18495092.5	17710681.5
