feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
2474	590				0.84143966	ISDB							CZVQSYNVUHAILZ						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	3.3657586574554443
2473	480	Terpenoids	Diterpenoids	Serrulatane and Biflorane diterpenoids	0.6029378	ISDB	DHWCRSNZCPDTKZ-DEDHAYDBSA-N	InChI=1S/C23H33N3O3/c1-20(2,11-24)16-7-9-23(5,29-16)18-15(27)10-22(4,13-26)14-6-8-21(3,12-25)19(28)17(14)18/h14-19,27-28H,6-10H2,1-5H3/t14-,15-,16-,17-,18-,19-,21+,22+,23+/m0/s1	CC(C)(C#N)[C@@H]1CC[C@](C)([C@@H]2[C@H]3[C@H](O)[C@@](C)(C#N)CC[C@@H]3[C@@](C)(C#N)C[C@@H]2O)O1	C23H33N3O3		399.252191916	DHWCRSNZCPDTKZ	Terpenoids	Diterpenoids	Serrulatane and Biflorane diterpenoids	Acanthella cavernosa	738868.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Axinellida']	['Axinellidae']	['Unknown']	['Acanthella']	['Acanthella cavernosa']	0	3	3.9117512702941895
2471	19	Alkaloids	Ornithine alkaloids	Polyamines	0.7979758	ISDB	ATHGHQPFGPMSJY-UHFFFAOYSA-N	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	NCCCCNCCCN	C7H19N3		145.15789760799998	ATHGHQPFGPMSJY	Alkaloids	Ornithine alkaloids	Polyamines	Pseudomonas hydrogenovora	326794.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas hydrogenovora']	6	3	10.691903114318848
2466	480	Terpenoids	Diterpenoids	Serrulatane and Biflorane diterpenoids	0.580336	ISDB	DHWCRSNZCPDTKZ-DEDHAYDBSA-N	InChI=1S/C23H33N3O3/c1-20(2,11-24)16-7-9-23(5,29-16)18-15(27)10-22(4,13-26)14-6-8-21(3,12-25)19(28)17(14)18/h14-19,27-28H,6-10H2,1-5H3/t14-,15-,16-,17-,18-,19-,21+,22+,23+/m0/s1	CC(C)(C#N)[C@@H]1CC[C@](C)([C@@H]2[C@H]3[C@H](O)[C@@](C)(C#N)CC[C@@H]3[C@@](C)(C#N)C[C@@H]2O)O1	C23H33N3O3		399.252191916	DHWCRSNZCPDTKZ	Terpenoids	Diterpenoids	Serrulatane and Biflorane diterpenoids	Acanthella cavernosa	738868.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Axinellida']	['Axinellidae']	['Unknown']	['Acanthella']	['Acanthella cavernosa']	0	3	3.8213438987731934
2464	590				0.8573575	ISDB							CZVQSYNVUHAILZ						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	3.4294300079345703
2461	237	Alkaloids	Ornithine alkaloids	Polyamines	0.65324515	ISDB	JMNHYFJQGCEGHL-XVYDYJIPSA-N	InChI=1S/C27H39N3O4/c1-33-26-20-22(10-12-24(26)31)8-5-18-30(17-4-3-15-29-16-7-14-28)19-6-9-23-11-13-25(32)27(21-23)34-2/h5-6,8-13,20-21,29,31-32H,3-4,7,14-19,28H2,1-2H3/b8-5+,9-6+	COc1cc(/C=C/CN(C/C=C/c2ccc(O)c(OC)c2)CCCCNCCCN)ccc1O	C27H39N3O4		469.294056728	JMNHYFJQGCEGHL	Alkaloids	Ornithine alkaloids	Polyamines	Dianthus caryophyllus	842200.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Caryophyllales']	['Caryophyllaceae']	['Caryophylleae']	['Dianthus']	['Dianthus caryophyllus']	0	3	4.112980604171753
2459	203	Terpenoids	Diterpenoids	Dipeptides	0.45469412	ISDB							QHMLSDSMAKJEBA						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	1.8187764883041382
2455	55	Alkaloids	Fatty Acids and Conjugates	Oxo fatty acids	0.0	MS1_match	CUYPWOPOBAHCCE-PELKAZGASA-N	InChI=1S/C14H12N2O4/c17-13(18)7-3-1-5-9-11(7)16-10-6-2-4-8(14(19)20)12(10)15-9/h1-5,8,12,15H,6H2,(H,17,18)(H,19,20)/t8-,12+/m1/s1	O=C(O)c1cccc2c1N=C1CC=C[C@@H](C(=O)O)[C@@H]1N2	C14H12N2O4	pos_1_1proton1isopropanol	272.079706864	CUYPWOPOBAHCCE	Alkaloids	Anthranilic acid alkaloids		Pseudomonas aeruginosa	216671.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas aeruginosa']	6	1	6.5
2452	19	Alkaloids	Ornithine alkaloids	Polyamines	0.0	MS1_match	UPQABDVIEXSCCH-UHFFFAOYSA-N	InChI=1S/C8H21N3/c1-2-7-11(10)8-5-3-4-6-9/h2-10H2,1H3	CCCN(N)CCCCCN	C8H21N3	pos_1_1proton	159.173547672	UPQABDVIEXSCCH	Alkaloids	Ornithine alkaloids	Polyamines	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']	6	3	7.5
2451	19	Alkaloids	Ornithine alkaloids	Polyamines	0.7937326	ISDB	ATHGHQPFGPMSJY-UHFFFAOYSA-N	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	NCCCCNCCCN	C7H19N3		145.15789760799998	ATHGHQPFGPMSJY	Alkaloids	Ornithine alkaloids	Polyamines	Pseudomonas hydrogenovora	326794.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas hydrogenovora']	6	3	10.674930334091187
