formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C31H58FN3O13Si6	[M - H2O + H]+	C31H57FN3O12Si6+	0.193	0.183	38.705	38.705	0.000	23	0.843	0.764	1.067	-21185.219		850.251	29	0.480	839112036150600170	839111708759986970	839111708759986969	3	
1	C14H19ClN2O2S	[M - H2O + H]+	C14H18ClN2OS+	0.433	0.124	25.191	25.191	0.000	5	0.715	0.606	0.606	-60624.258		297.082	29	0.489	839111922677890653	839111708428636946	839111708395082513	1	
1	C17H32FN3O7Si4	[M + H3N + H]+	C17H36FN4O7Si4+	0.944	0.292	88.767	88.767	0.000	24	0.688	-1.158	2.288	-0.891		539.163	29	0.489	839111992601138885	839111708650935062	839111708646740757	2	
1	C26H48O4	[M + H]+	C26H49O4+	0.645	0.500	80.187	76.402	3.785	17	0.755	0.763	1.438	0.173		425.363	30	0.492	839111918559083640	839111708856455966	839111708856455965	4	
1	C12H38O7Si6	[M + H]+	C12H39O7Si6+	0.281	0.049	51.072	51.072	0.000	13	0.641	0.147	0.296	0.304		463.131	30	0.493	839111943691356002	839111708944536354	839111708940342049	5	
1	C25H18N4O3	[M - H2O + H]+	C25H17N4O2+	0.922	0.327	20.097	16.604	3.493	3	0.982	0.148	0.172	-44455.709		405.135	32	0.526	839111918345174063	839111709024228134	839111709020033829	6	
1	C19H16F4N4O2S	[M - H2O + H]+	C19H15F4N4OS+	0.651	0.272	15.915	13.079	2.836	4	0.956	0.333	0.333	-42565.716		423.091	32	0.527	839111918521334886	839111709099725610	839111709095531305	7	
1	C9H8O	[M + Na]+	C9H8NaO+	0.514	0.669	30.266	30.266	0.000	2	0.876	1.374	1.374	0.609		155.047	32	0.533	839111915241388695	839111709171028782	839111709166834477	8	
1	C7H4O	[M + Na]+	C7H4NaO+	0.513	0.693	13.246	13.246	0.000	1	0.567	3.201	3.201	1.532		127.016	32	0.534	839111915245583013	839111709238137650	839111709238137649	9	
1	C7H16O9	[M - H2O + H]+	C7H15O8+	0.581	0.335	4.914	4.914	0.000	1	0.018	2.391	2.391	-79313.634		227.076	32	0.536	839111917200128917	839111709812757330	839111709808563025	17	
1	C10H13FN2O3	[M - H2O + H]+	C10H12FN2O2+	0.629	0.333	60.180	60.180	0.000	11	0.733	0.389	4.767	-85327.315		211.087	33	0.544	839111916264798998	839111709384938298	839111709380743993	11	
1	C20H33NO3	[M - H2O + H]+	C20H32NO2+	0.825	0.278	18.857	16.609	2.249	5	0.108	1.219	3.187	-56601.747		318.240	33	0.553	839111919444081890	839111709527544642	839111709527544641	13	
1	C10H8N2O2	[M - H2O + H]+	C10H7N2O+	0.997	0.310	13.242	13.242	0.000	3	0.029	5.566	5.566	-105290.697		171.055	33	0.553	839111915279137458	839111709879866198	839111709875671893	18	
