cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
1333	314.7792833337304	5.85194	0	17361860.5	17011660.0	17020091.0	17703497.0	16826292.75	0	16953689.25	17050542.0	17383981.25	17523528.75
1334	260.16047324089266	5.852467	0	0.0	14151706.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1335	316.77630445929304	5.8523407	0	11126230.0	11053840.0	10975618.75	11439004.25	10850582.0	0	10902186.25	10989352.75	11289756.5	11210139.5
1336	198.86217450418604	5.8519254	0	11794482.5	11971214.0	11876038.0	12183962.75	11970013.75	0	11962028.25	11775849.0	12305876.5	11780743.25
1337	772.5319980885591	5.853602	0	6584718.125	6177356.0	6616076.5	6592641.125	5886411.25	0	6077313.0	6300447.5	6555613.75	6746472.75
1338	767.5767140194342	5.8551807	0	6918824.75	6702386.0	6900215.875	6933107.75	6073283.75	0	6458654.25	6551752.125	6934631.125	6880394.625
1339	760.6246785010185	5.859172	0	5889697.125	5348472.5	5642924.125	5877005.0	5136259.25	0	5399322.5	5831480.25	5739464.25	5575618.5
1340	762.6216277373888	5.859209	0	6773225.75	6231377.5	6522124.125	7051432.125	6063730.375	0	6342784.625	6589586.625	6872393.0	6605748.125
1341	755.6692245557695	5.8646727	0	5201541.75	4800560.0	5207553.25	5131267.875	4732530.875	0	5059333.25	4952996.0	5374025.0	4886539.5
1342	757.6662398060693	5.8651414	0	6104052.75	5795061.5	5915984.875	5864799.625	5424185.875	0	5783847.25	5623953.5	6225286.5	5675935.875
