CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
667	991	6	0.9388	-49.979
410	575	6	0.9045	-228.039
450	575	6	0.9025	-210.086
410	649	6	0.9273	-49.980
649	704	6	0.9753	14.015
450	515	6	0.9124	97.053
450	553	6	0.9013	131.037
450	760	6	0.9108	90.047
484	548	6	0.9345	16.031
522	548	6	0.919	50.015
530	548	6	0.96	0.000
704	981	6	0.9034	-23.001
79	632	6	0.901	70.007
836	973	6	0.9391	-30.011
973	986	6	0.9667	0.000
515	631	6	0.918	48.000
609	631	6	0.992	0.000
631	836	6	0.9047	-57.021
515	553	6	0.9307	33.984
515	609	6	0.9103	48.000
515	632	6	0.9219	16.029
778	991	6	0.9475	-15.995
484	530	6	0.9178	16.031
484	522	6	0.9188	-33.985
836	986	6	0.939	-30.011
410	553	6	0.9087	113.084
778	949	6	0.9512	-58.006
553	632	6	0.9101	-17.955
1577	1632	8	0.9131	113.084
1577	1784	8	0.9191	113.084
1577	1816	8	0.9341	42.047
1577	1900	8	0.9391	26.052
1784	1900	8	0.901	-87.032
1816	1900	8	0.9455	-15.995
1632	1784	8	0.9612	0.000
1784	1816	8	0.9021	-71.037
133	158	10	0.9536	14.016
158	185	10	0.794	14.016
122	123	10	0.9462	0.074
123	133	10	0.8468	13.941
133	156	10	0.775	-25.977
122	133	10	0.8598	14.015
96	133	10	0.7303	-3.959
1988	2090	11	0.8791	14.015
1426	1436	13	0.8237	71.037
1426	1724	13	0.8437	12.036
1377	1513	14	0.9734	-30.952
1409	1513	14	0.9889	-57.022
1462	1513	14	0.9775	-57.022
1513	1912	14	0.9683	40.973
1409	2444	14	0.9216	-9.055
2101	2444	14	0.9528	0.000
2297	2444	14	0.9862	0.000
2416	2444	14	0.9994	-0.000
501	570	14	0.9596	50.015
516	570	14	0.9805	-14.016
570	582	14	0.9836	14.016
570	671	14	0.9794	0.000
570	917	14	0.9797	0.000
570	1194	14	0.9784	42.047
570	1414	14	0.9738	-15.958
570	1459	14	0.9742	-1.943
570	1547	14	0.9685	26.052
570	1681	14	0.9561	-0.959
2222	2323	14	0.9712	-54.011
501	917	14	0.9585	50.015
516	917	14	0.9822	-14.016
582	917	14	0.9722	-14.016
665	917	14	0.9621	33.984
671	917	14	0.9805	0.000
917	1194	14	0.9735	42.047
917	1459	14	0.9685	-1.943
917	1547	14	0.9725	26.052
1599	2146	14	0.9417	46.021
1634	2146	14	0.9294	12.036
1848	2146	14	0.9282	-1.979
