"features"	"LV1"	"LV2"
1016	-0.0955423888236716	0.0133662476222537
102	-0.0195880259762185	-0.120072845417257
1033	-0.109784307918818	0.0419063804852577
1055	-0.10343974426328	0.037555344576042
1056	-0.110868962804934	0.0462035079832815
1058	-0.102593524367618	0.0372923650429999
1059	-0.059659181592644	-0.163468772283617
1061	-0.107939882227806	0.0403107391197203
1062	-0.0350414752073517	-0.152689626427653
1063	-0.0612131219314228	-0.0163592852939741
1068	-0.0371558478247468	-0.155118404300812
1075	-0.108669078434433	0.0283156081275524
1084	-0.0497617868929756	-0.0840750447039615
1102	-0.0234701735158927	-0.153377633316946
1103	-0.0205895499610402	-0.141827237130306
1104	-0.0205745025582389	-0.14640470110741
1124	-0.0692469714743136	0.0169165616975947
1126	-0.0325463557949269	-0.116368693420164
1131	-0.108141157374532	0.0435756478778074
1140	-0.108363195146821	0.0364578321138944
1155	-0.10918501309723	-0.0550069814892056
1172	-0.112726140340405	0.0425366539350562
1173	-0.107496460398772	0.0393181253456102
1175	-0.0333020087901234	-0.128152857082314
1189	-0.064010046600515	0.0325856353373535
1190	-0.0647611187800688	0.032811979974684
1199	-0.0334373971503802	-0.160508513632731
1200	-0.0324970305645597	-0.157840934432921
1201	-0.0337408224731355	-0.158305645385156
1206	-0.106788923539747	0.0428641097684572
1215	-0.0712298809652162	-0.0661343632846839
1216	-0.0641125448944252	-0.09927242326688
1223	-0.0547614750590744	-0.114592334716182
1260	-0.0893503241280283	-0.0198745307185448
1261	-0.0881560514073132	0.011325854929321
1297	-0.11009733561713	0.0424485553568414
1300	-0.0660973943698841	-0.0253047691095502
1302	-0.115807409588491	0.0442361515353278
1303	-0.116180586571672	0.0464612293024704
1308	-0.118552487721003	0.0456314638505954
1324	-0.111727097904865	0.0441991756281609
1325	-0.119879143034185	0.0449722537143084
1327	-0.115330780061671	0.0456321925838962
1329	-0.113460856710504	0.0435771070791647
1348	-0.106470488579394	0.0426235538797516
1349	-0.120074620823665	0.0468460785483193
1356	-0.118783034646945	0.0433430772821214
1357	-0.0883116012828477	0.0265102423714099
137	-0.0708857937055279	0.00352435452640141
1376	-0.04856616498513	-0.13353126025805
1415	-0.100555850926821	0.039168355307972
1421	-0.108192633871086	0.0415438019930821
1438	-0.0881627128866088	0.0327798960198165
1439	-0.0983938053275818	0.027206360870251
1477	-0.0831774504054824	-0.00630830998741748
1486	-0.0721236622474651	-0.0720224302734747
1519	-0.0558664137818818	-0.0894660107403382
1588	-0.076452875120486	0.0329604524001185
1653	-0.0748618510841566	-0.0411430021285653
1656	-0.110029013601786	0.039974445621531
1689	-0.0457514401703281	-0.0497885608907288
1730	-0.0727883244269993	0.0210291423902059
1754	-0.11516183098462	0.0413552865546397
1760	-0.0141252240518487	-0.118669581511929
1785	-0.115180918450488	-0.00418635584359765
1793	-0.111961111859614	0.0459967081608781
1796	-0.111831393282202	0.0430816728546788
1797	-0.119040549895185	0.0473814037852518
1807	-0.100629670381041	0.0395893481259567
1808	-0.104759930904705	0.0412393577882501
1809	-0.101663922462225	0.0368049885384692
1823	-0.071255990488791	0.0133879454625598
1866	-0.0615319928022918	-0.0683910858158875
1868	-0.0627910556452929	-0.0756343163604468
1869	-0.062022794122196	-0.0636164315816583
1870	-0.0793901564478777	-0.0731722779792295
1872	-0.0900099065305851	-0.0491101970811751
1891	-0.0881984033689324	0.0227226454504245
1926	-0.0995176014596588	0.0389658786960915
1934	-0.0811456187090436	0.021116306872762
1948	-0.103754442190539	0.0206863113128989
1962	-0.0660444465182353	0.0144414021727956
1963	-0.0671433783350147	0.0153737465697769
1964	-0.0628309730243064	0.0141579701408309
1971	-0.0542705154658648	-0.131778656093766
1972	-0.0515029067091678	-0.0903660249584844
1973	-0.0498458103394333	-0.0907036150500861
2030	-0.0449980068117536	-0.10233654387851
2032	-0.0468700808014112	-0.107077389339708
2050	-0.0979397863685787	0.0407496108896556
2052	-0.0335305540771642	-0.0638212569206689
214	-0.0802622121922919	-0.0534467736775593
215	-0.0131420192565641	-0.180023238984218
250	-0.11168490543499	0.0430275092830054
373	-0.108532774048875	0.0360657655114634
384	-0.102892593055127	0.0413325212546346
428	-0.0201570417208978	-0.111395749422246
455	-0.0358307723050537	-0.165130738570548
471	-0.0779085697815549	-0.0432047298261423
480	-0.0154974116734456	-0.0857337208616829
488	-0.0136543324528534	-0.159988399830443
526	-0.0199098128401116	-0.172503990539359
528	-0.0251562268018961	-0.176309248277489
529	-0.0333390193579142	-0.180245428913417
530	-0.0358931653620592	-0.183126687029108
531	-0.0255446167746404	-0.172139289503547
538	-0.0249785009433564	-0.151499060757216
543	-0.02535054050252	-0.162255307855406
577	-0.100490035877057	0.0141968796343394
580	-0.0903163144601086	0.0191464407276857
603	-0.0896952111626037	0.00346996878091826
605	-0.099371253903392	0.00505233763958652
610	-0.0960486337927266	0.0399869635175647
622	-0.0995744099528384	0.0386592188805844
626	-0.0282807814095411	-0.16952474562618
629	-0.0427268315858195	-0.137653298362162
631	-0.0293171299988455	-0.115610887306208
634	-0.0666395868513586	-0.116958698081866
643	-0.0355209798665676	-0.129307245667165
661	-0.0953011644523361	0.0377500011817514
666	-0.0880800750282155	-0.029078951750315
669	-0.110962817575503	0.0414244121070655
68	-0.0948306582044196	-0.0916225670523825
701	-0.112700575554782	0.0409318965308315
763	-0.0943720931317324	0.0375330022397989
767	-0.109289181445688	0.0314636664585768
769	-0.0377141836418799	-0.0816768455847766
772	-0.0916742573434503	-0.00540366079899734
802	-0.101708541308887	0.00917702612953251
840	-0.111312056353182	-0.00462565809052407
849	-0.095168946173101	0.0390027545164064
851	-0.110213404770226	0.0340855258558801
853	-0.0975440266837748	0.0436757324116964
858	-0.0153866120450259	-0.12557463306465
859	-0.108515619491072	0.0317040082165647
869	-0.109400575717904	0.0400718624608813
880	-0.0782681635012401	0.012922128924764
886	-0.018394618171233	-0.155203957229079
899	-0.0846875393281074	0.0226404124455183
901	-0.106962008191973	0.0375311235038876
933	-0.0196706495886321	-0.126755008223361
982	-0.108956982969727	0.0232223569021945
985	-0.115049301467023	0.0228852517236118
986	-0.104147072219199	0.0194231891013194
