"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1971_266.17_4.8",1971,266.172685994075,4.8085756,"C11H16N6O"
"1972_226.18_4.8",1972,226.179835979098,4.809872,"C13H20O2"
"1973_244.19_4.8",1973,244.190792532428,4.810211,"C13H22O3"
"2030_280.26_7",2030,280.263526046941,6.986005,"C18H30O"
"2032_320.26_7",2032,320.255940193294,6.9857883,NA
"2050_339.25_7.4",2050,339.253133376671,7.3801126,"C20H34O4"
"2052_296.26_7.5",2052,296.258420495106,7.497616,"C18H30O2"
"214_155.08_0.9",214,155.081543095018,0.86856616,"C7H7NO2"
"215_126.07_0.9",215,126.066360496492,0.8704248,"C5H4N2O"
"250_409.13_1",250,409.133090596766,0.96225154,"C15H22N4O8"
"373_364.16_1.3",373,364.161710681817,1.303598,"C16H23N5O6"
"384_343.23_1.3",384,343.233893642428,1.332388,"C16H32N4O5"
"428_227.65_1.4",428,227.65495506512,1.424805,NA
"455_160.08_1.5",455,160.075814487562,1.4719013,"C10H11NO2"
"471_157.13_1.5",471,157.133676627062,1.5185287,"C8H18N2O2"
"480_441.19_1.5",480,441.187192370838,1.5294017,"C20H25NO9"
"488_276.11_1.5",488,276.108003090625,1.531491,"C12H17N2O4"
"526_312.19_1.6",526,312.192012352632,1.5966235,"C15H27N3O5"
"528_565.3_1.6",528,565.296149531322,1.6022975,"C24H42N6O8"
"529_294.14_1.6",529,294.14266160264,1.6033143,NA
"530_272.16_1.6",530,272.160780536289,1.6041094,"C12H23N3O5"
"531_543.31_1.6",531,543.314510439231,1.6044059,"C24H44N6O9"
"538_367.17_1.6",538,367.16996916175,1.6343608,"C13H24N6O5"
"543_366.17_1.6",543,366.16631345926,1.6335324,NA
"577_316.19_1.7",577,316.187333140413,1.6954689,"C14H27N3O6"
"580_702.41_1.7",580,702.405056381627,1.6970239,"C31H55N7O11"
"603_568.22_1.7",603,568.223120447465,1.7384789,"C22H35N5O11"
"605_546.24_1.7",605,546.241245089477,1.744061,"C22H37N5O12"
"610_431.25_1.8",610,431.250173572082,1.7501884,"C19H34N4O7"
"622_558.29_1.8",622,558.288629813868,1.7766014,"C23H41N7O10"
"626_408.18_1.8",626,408.176610267689,1.7754856,"C19H27N3O8"
"629_379.2_1.8",629,379.195220452591,1.7729521,"C16H28N4O5"
"631_357.21_1.8",631,357.213308287778,1.7782526,"C16H30N4O6"
"634_620.69_1.8",634,620.686546495881,1.7802657,NA
"643_358.22_1.8",643,358.216350807736,1.7785933,"C16H33N3O5Si"
"661_887.48_1.8",661,887.484502246795,1.8408542,"C44H59N11O8"
"666_466.23_1.8",666,466.22768250795,1.8459378,"C19H33N5O7"
"669_444.25_1.8",669,444.245869966152,1.8426311,"C19H35N5O8"
"68_257.15_0.6",68,257.14708557133,0.5519475,"C10H22N2O4"
"701_558.29_1.9",701,558.288493189267,1.8946333,"C23H41N7O10"
"763_540.24_2",763,540.243271474511,1.9936337,"C22H39N5O8"
"767_407.22_2",767,407.221030849512,2.0004349,NA
