"features"	"PC1"	"PC2"	"PC3"
1016	0.0613060995200512	-0.037848917441813	-0.0264829296768764
102	-0.0782147014459768	0.101271553103205	0.0442023515919602
1033	0.0969434844884505	-0.000220863235956603	0.0256152538697598
1055	0.087778441891921	2.15496770723151e-06	-0.0519970955943214
1056	0.0987329791768211	-0.00787719513800953	-0.0386352542001095
1058	0.0879512933950688	0.00307206313880175	-0.0148816358670832
1059	-0.113858180200099	-0.0782565266429377	-0.109833917585352
1061	0.0923742355493771	0.00219413070829746	-0.0482005493260842
1062	-0.106942887248571	-0.000272340573895072	0.00682160458023193
1063	0.0275429427213991	0.0170059485655199	0.220925064900494
1068	-0.110335024174637	-0.0266254057255833	0.021825763327277
1075	0.0866790525996327	0.0197600320531695	0.0587493373705279
1084	-0.0198847003113534	0.21457772992194	0.00544881025929508
1102	-0.111631471110706	0.0283858306104155	0.0312837911068493
1103	-0.100196475530827	0.0626307993035075	0.0274736493743624
1104	-0.105127330280423	0.0517877733162719	0.0305192572410171
1124	0.0430633788262226	-0.0685467521940796	-0.023235774256021
1126	-0.0528148782429714	0.247211003474253	0.0180322631241963
1131	0.0953801233541786	-0.00455240345379369	-0.00223539578559856
1140	0.0927780645012424	0.00798234585366887	0.0252354546278508
1155	-0.00733634329409859	-0.227164415660512	0.163370654794363
1172	0.0990259113966887	-0.000771547191085389	0.0194185799525165
1173	0.0932752222503139	0.00172595277000201	0.0249861598167645
1175	-0.0787763698662223	0.0999180752604405	0.0150313305565007
1189	0.0587676397818606	-0.0179034837460656	0.0711265280437459
1190	0.0593907558179123	-0.0187461747141867	0.0650243502973664
1199	-0.12119599898729	-0.0549388791173985	0.0754581272468948
1200	-0.119752993888402	-0.0572654521625649	0.0743224781827819
1201	-0.120681857338057	-0.0691253408024038	0.0809615843224304
1206	0.0943611143556936	-0.00626074289719554	-0.00414754952267639
1215	-0.0224401564220692	-0.0915978438416661	0.126629077251155
1216	-0.0593789378275559	-0.122577501214694	-0.036574701442125
1223	-0.0743772183605423	-0.108800103039734	0.111384116728008
1260	0.03903390096984	0.0541787258897239	-0.0416798507600205
1261	0.0608756035774304	0.00933988715153489	0.0537548059723429
1297	0.0976898926634317	-0.00264950900714323	0.0260855454633984
1300	0.0274533484029312	0.0753417091983665	0.127520147625451
1302	0.102064879880088	-0.00153212978068933	0.0300259287832502
1303	0.10295287163276	-0.00745687897428726	-0.00128053824557499
1308	0.104198035910408	-0.00656661310582274	0.0133063505669136
1324	0.0986062158363814	-0.00514807542286701	0.00202001805131341
1325	0.103284515459528	-0.0140865084715609	0.00133231327949527
1327	0.102113651468787	-0.00362532135311976	0.00707716549722882
1329	0.0986506377404205	-0.0100870862598342	0.0314752912523655
1348	0.0948501526751273	-0.0109430580024335	0.0246144122104722
1349	0.106392949998335	-0.00624956928711837	0.0284121842810729
1356	0.103788125335416	0.00298634428659339	0.0287355993380059
1357	0.0663289446501155	-0.0317542467680146	0.0145642586198961
137	0.0504835223617164	0.042160813116245	0.138052953859434
1376	-0.0636701855141822	0.168575320819962	0.130881995137526
1415	0.0886618857337415	-0.00159784202397271	0.0218782776607871
1421	0.0951808940617886	-0.00445724744530539	0.0547533148845967
1438	0.0750223879273923	-0.00182177895835491	0.00257025945635319
1439	0.0747597705772033	-0.0217382063723288	0.004283662445706
1477	0.0443612495564621	0.0534128250180698	0.0516637472055745
1486	-0.00069608001747183	0.172891357519124	0.0335709490178348
1519	-0.0222570075290427	0.205676540262347	0.0355549690494962
1588	0.067384176317937	-0.00671810013686099	-0.0166665000017643
1653	-0.0121430208292091	-0.189676709932759	0.0787563662900309
1656	0.0964336682469776	0.00664870462611608	0.0273625970296814
1689	-0.0168219569749032	-0.0116020576548749	0.0996896804666162
1730	0.0622441437627793	0.0142031710575555	-0.129466709926841
1754	0.0996037276747829	-0.000544982960072598	-0.0141668322895219
1760	-0.0770552974922951	0.139157988815692	0.00680708038625944
1785	0.0636292792945006	0.0124147853724523	0.0300797647791336
1793	0.0995458416326591	-0.00542048291733103	0.00407787959617382
1796	0.0986221986197504	0.00106461283231364	-0.0020352006891893
1797	0.105569112359847	-0.00434242608248004	0.0112027501605175
1807	0.0874611692112528	-0.00520757983891497	-0.0127937712748091
1808	0.0913945607587815	-0.00575177353415636	-0.0118416038243031
1809	0.0860441415155929	-0.0036195318833225	-0.00050647042410576
1823	0.0580218319802462	0.0243884650329283	-0.168863702223021
1866	-0.00253787092503649	0.210148908673548	-0.0531423292759536
1868	-0.01048063657413	0.188957295477697	-0.0354915355225261
1869	-0.00145509375465834	0.18824012880824	-0.131497453005908
1870	0.000182847449776315	0.178809569085841	-0.039474226009905
1872	0.0167510843921983	0.0806812675707509	-0.0360985720801394
1891	0.0720523523656336	-0.00213890935359526	0.0724382633034066
1926	0.0872969312458061	-0.00218526947595381	-0.0220619467365041
1934	0.0700359180985058	0.013651670364912	0.058858433696333
1948	0.0801792563431897	0.0577711889849159	-0.00166466619766939
1962	0.0544414696122505	0.0188365936720029	-0.193397239347061
1963	0.055649952078596	0.0180110592097453	-0.179950435255942
1964	0.0518959499310364	0.0175938608399135	-0.188206732757954
1971	-0.0807442913022057	-0.0378621673169593	0.0790437423777213
1972	-0.0488487710070319	-0.0505040729520055	0.103383890417139
1973	-0.0475239909691571	-0.0275884872188309	0.086468243820515
2030	-0.0582216645347411	0.0503847157050425	-0.370194068613487
2032	-0.0621147126954417	0.0422919978325822	-0.370147767490508
2050	0.0866201791000742	-0.00991399020059043	-0.027873507728816
2052	-0.0312519180083206	0.063144598166132	-0.317275485294866
214	-0.0216762205763353	-0.21310551837493	-0.072904890287024
215	-0.147356427815295	-0.0333381283938688	0.00342058859881375
250	0.0986508399521071	0.00025645540258894	0.00795577801899564
373	0.090994720058203	0.00200551494583224	0.0274304956894324
384	0.0910603768985777	-0.00428397099015813	-0.0044915545649073
428	-0.0673098089571183	0.150178586766087	0.0202384307134803
455	-0.117367693090218	0.00385364905548435	-0.0152341717334507
471	-0.0131507629239899	-0.173285453535175	-0.0878153133849617
480	-0.0501728597297061	0.114050074480866	0.0902908817893473
488	-0.129380030675087	-0.0276158842260802	0.0412867190846703
526	-0.132100157744038	0.00865092632114844	0.0248615046385181
528	-0.139467285589865	-0.0633277486609735	0.00338079856406147
529	-0.136764856517251	-0.0526011313240206	-0.0275452139196859
530	-0.142703480141001	-0.101798157199626	-0.0019063845639717
531	-0.138100036976719	-0.0857288207789949	0.0150370991139884
538	-0.107033556186687	0.046148888990042	0.083485290075552
543	-0.115778784669392	0.0442892606188658	0.0712742086704626
577	0.0741962542717213	0.0504637064109673	0.0652121211184885
580	0.0644881250863728	-0.0201429306123597	-0.00745370713419075
603	0.0401599917267188	-0.116821275366327	-0.108232699012137
605	0.0449647467170875	-0.137190795862679	-0.0564925503942533
610	0.0849688844517697	-0.00739533991231764	-0.00641699661783239
622	0.0863752497825971	-0.0101148520511956	0.0104873369264754
626	-0.126795860315158	-0.0122651611899503	0.0129109534154951
629	-0.0849327997564586	0.071937196795658	0.0337478550213921
631	-0.0679362562926621	0.123792564876945	0.00933758284398976
634	-0.0758178747048196	-0.141549316807462	-0.121988985903867
643	-0.0800892165373164	0.0835585997725451	0.00431943919572644
661	0.0843732253406517	0.00150183504736526	-0.0177112067828295
666	0.0417117586422423	0.170451889080339	-0.0623099993055872
669	0.0962370889229307	-0.00141025929237575	-0.00130825130327124
68	-0.00552141435793212	0.166234047046414	0.168074999779364
701	0.0968250123866184	-0.00503722034284404	0.0411715316756604
763	0.0832359350203929	-0.00732474534001563	0.00205456070804589
767	0.085184805927298	-0.0241551984976041	-0.00378070346306423
769	-0.0298405322279058	0.171643079259471	-0.0119177661611667
772	0.0387656128959039	-0.0586188338806254	-0.150902181923731
802	0.0526881620896212	-0.112808273761708	0.0117509693718074
840	0.0668964322623574	0.0771889842464412	0.00801193398409236
849	0.0834488347297268	-0.0128320185110662	0.015082488045869
851	0.0875817809799535	-0.0344060966632514	0.0475295033275835
853	0.0877570214853078	-0.0193707278006005	-0.00578020593373627
858	-0.119415989779961	-0.21749395423346	-0.038298722434278
859	0.0903543984011568	0.024204043987711	0.0831845772140794
869	0.0951395659972188	0.000898254822498862	0.0733343209390215
880	0.0449446186691533	-0.0736440507583232	-0.0742273745063589
886	-0.115829192066762	0.0307209045698472	0.0176888228121452
899	0.0701517057082225	0.00978779947059142	0.0744329974372388
901	0.0908782340042602	-0.00936438969298254	0.0228334087288433
933	-0.0830561947385852	0.122335697341186	0.0118964199949453
982	0.0842665791006342	0.0373363302514641	0.0335152141732234
985	0.0874064791629158	0.0347682824314981	0.0367829231570709
986	0.0776021559120422	0.0329942306177878	0.0295260669538343
